Country,Country_Code,Crop,Crop_Code,Year,Unit,Yield,Crop_Category,Fertilizer_Nutrient nitrogen N (total),Fertilizer_Nutrient phosphate P2O5 (total),Fertilizer_Nutrient potash K2O (total),Pesticide_Total_Tonnes,ISO3,Agricultural Land (%),GDP (USD),Rainfall (mm),Temperature (C),Region
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2019,kg/An,180.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2020,kg/An,180.0,Other,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2021,kg/An,180.0,Other,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2022,kg/An,180.0,Other,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2023,kg/An,180.0,Other,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2015,kg/An,180.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2016,kg/An,160.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2017,kg/An,176.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2018,kg/An,152.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2019,kg/An,142.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2020,kg/An,146.0,Other,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2021,kg/An,143.0,Other,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2022,kg/An,144.0,Other,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2023,kg/An,145.0,Other,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of chickens, fresh or chilled",1058,2015,g/An,800.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of chickens, fresh or chilled",1058,2016,g/An,800.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of chickens, fresh or chilled",1058,2017,g/An,800.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
